sources,tag,solver
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,Laertes
0xF6a94dfD0E6ea9ddFdFfE4762Ad4236576136613,Hashflow unverified contract,Laertes
0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,Paraswap,Laertes
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3 Router V2,Laertes
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,NaiveSolver
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,Uniswap V2 Router 2,NaiveSolver
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,OpenOcean
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0x,Otex
0x1111111254fb6c44bAC0beD2854e76F90643097d,1inch V4,Otex
0x1111111254EEB25477B68fb85Ed929f73A960582,1inch V5,Otex
0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer,Otex
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,Otex
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,Otex
0xB576491F1E6e5E62f1d8F26062Ee822B40B0E0d4,Curve.fi CVX/ETH,Otex
0x6e314039f4C56000F4ebb3a7854A84cC6225Fb92,Curve.fi ETH/BTRFLY,Otex
0x342D1C4Aa76EA6F5E5871b7f11A019a0eB713A4f,Curve.fi Factory Pool CLEV/ETH,Otex
0x838af967537350D2C44ABB8c010E49E32673ab94,Curve.fi Factory Pool CNC/ETH,Otex
0x0E9B5B092caD6F1c5E6bc7f89Ffe1abb5c95F1C2,Curve.fi Factory Pool GEAR/ETH,Otex
0x75A6787C7EE60424358B449B539A8b774c9B4862,Curve.fi Factory Pool PAL/ETH,Otex
0x1570af3dF649Fc74872c5B8F280A162a3bdD4EB6,Curve.fi Factory Pool ibEUR/USDC,Otex
0x0f3159811670c117c372428D4E69AC32325e4D0F,Curve.fi Factory Pool rETH/ETH,Otex
0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,Curve.fi Frax/USDC,Otex
0x752eBeb79963cf0732E9c0fec72a49FD1DEfAEAC,Curve.fi T-ETH Pool,Otex
0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,Curve.fi: DAI/USDC/USDT Pool,Otex
0xD51a44d3FaE010294C616388b506AcdA1bfAAE46,Curve.fi: USDT/WBTC/WETH Pool,Otex
0xA5407eAE9Ba41422680e2e00537571bcC53efBfD,Curve.fi: sUSD v2 Swap,Otex
0xC9f93163c99695c6526b799EbcA2207Fdf7D61aD,DODO USDT/DODO,Otex
0xF6a94dfD0E6ea9ddFdFfE4762Ad4236576136613,Hashflow unverified contract,Otex
0xd17b3c9784510E33cD5B87b490E79253BcD81e2E,Integral TWAP DEX,Otex
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,Maverick Router,Otex
0x1b81D678ffb9C0263b24A97847620C99d213eB14,PancakeSwap: SwapRouter V3,Otex
0xaFED85453681dc387EE0E87b542614722EE2CfeD,Solidly V3 ETH/USDC,Otex
0x3198EAdB777b9b6C789bfc89491774644E95eD7e,Solidly V3 ETH/USDT,Otex
0x9f5f971286b5701B5cDec94F34ABbfDf92e619B7,Solidly V3 WETH/WBTC,Otex
0x89B78CfA322F6C5dE0aBcEecab66Aee45393cC5A,USDC PSM,Otex
0x55d1e4480Cf21fAA47fa50746474C7E3E9fBE502,unverified contract,Otex
0x1d94BedCb3641ba060091eD090D28BbdcCDb7f1D,unverified contract,Otex
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0x,PLM
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,PLM
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,PLM
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,Uniswap V2 Router 2,PLM
0xE592427A0AEce92De3Edee1F18E0157C05861564,UniswapV3 Router,PLM
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,ParaSwap
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,ParaSwap
0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,Paraswap,ParaSwap
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,PropellerHeads
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,PropellerHeads
0x2c6A3cd97c6283b95Ac8C5A4459eBB0d5Fd404F4,unverified contract,PropellerHeads
0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer,Quasilabs
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,Quasilabs
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,Quasilabs
0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,Curve.fi Frax/USDC,Quasilabs
0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,Curve.fi: DAI/USDC/USDT Pool,Quasilabs
0xA5407eAE9Ba41422680e2e00537571bcC53efBfD,Curve.fi: sUSD v2 Swap,Quasilabs
0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,Sushiswap Router,Quasilabs
0x89B78CfA322F6C5dE0aBcEecab66Aee45393cC5A,USDC PSM,Quasilabs
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,Uniswap V2 Router 2,Quasilabs
0xE592427A0AEce92De3Edee1F18E0157C05861564,UniswapV3 Router,Quasilabs
0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer,Raven
